fixture_id,gameweek,home_team,away_team
307,,Man City,Crystal Palace
1,1.0,Liverpool,Bournemouth
2,1.0,Aston Villa,Newcastle
3,1.0,Brighton,Fulham
6,1.0,Spurs,Burnley
5,1.0,Sunderland,West Ham
7,1.0,Wolves,Man City
8,1.0,Chelsea,Crystal Palace
4,1.0,Nott'm Forest,Brentford
9,1.0,Man Utd,Arsenal
10,1.0,Leeds,Everton
20,2.0,West Ham,Chelsea
18,2.0,Man City,Spurs
12,2.0,Bournemouth,Wolves
13,2.0,Brentford,Aston Villa
14,2.0,Burnley,Sunderland
11,2.0,Arsenal,Leeds
15,2.0,Crystal Palace,Nott'm Forest
16,2.0,Everton,Brighton
17,2.0,Fulham,Man Utd
19,2.0,Newcastle,Liverpool
23,3.0,Chelsea,Fulham
26,3.0,Man Utd,Burnley
29,3.0,Spurs,Bournemouth
28,3.0,Sunderland,Brentford
30,3.0,Wolves,Everton
24,3.0,Leeds,Newcastle
22,3.0,Brighton,Man City
27,3.0,Nott'm Forest,West Ham
25,3.0,Liverpool,Arsenal
21,3.0,Aston Villa,Crystal Palace
31,4.0,Arsenal,Nott'm Forest
32,4.0,Bournemouth,Brighton
35,4.0,Crystal Palace,Sunderland
36,4.0,Everton,Aston Villa
37,4.0,Fulham,Leeds
39,4.0,Newcastle,Wolves
40,4.0,West Ham,Spurs
33,4.0,Brentford,Chelsea
34,4.0,Burnley,Liverpool
38,4.0,Man City,Man Utd
46,5.0,Liverpool,Everton
43,5.0,Brighton,Spurs
44,5.0,Burnley,Nott'm Forest
49,5.0,West Ham,Crystal Palace
50,5.0,Wolves,Leeds
47,5.0,Man Utd,Chelsea
45,5.0,Fulham,Brentford
42,5.0,Bournemouth,Newcastle
48,5.0,Sunderland,Aston Villa
41,5.0,Arsenal,Man City
52,6.0,Brentford,Man Utd
53,6.0,Chelsea,Brighton
54,6.0,Crystal Palace,Liverpool
56,6.0,Leeds,Bournemouth
57,6.0,Man City,Burnley
59,6.0,Nott'm Forest,Sunderland
60,6.0,Spurs,Wolves
51,6.0,Aston Villa,Fulham
58,6.0,Newcastle,Arsenal
55,6.0,Everton,West Ham
63,7.0,Bournemouth,Fulham
67,7.0,Leeds,Spurs
61,7.0,Arsenal,West Ham
68,7.0,Man Utd,Sunderland
65,7.0,Chelsea,Liverpool
62,7.0,Aston Villa,Burnley
66,7.0,Everton,Crystal Palace
69,7.0,Newcastle,Nott'm Forest
70,7.0,Wolves,Brighton
64,7.0,Brentford,Man City
77,8.0,Nott'm Forest,Chelsea
71,8.0,Brighton,Newcastle
72,8.0,Burnley,Leeds
73,8.0,Crystal Palace,Bournemouth
76,8.0,Man City,Everton
78,8.0,Sunderland,Wolves
74,8.0,Fulham,Arsenal
79,8.0,Spurs,Aston Villa
75,8.0,Liverpool,Man Utd
80,8.0,West Ham,Brentford
87,9.0,Leeds,West Ham
85,9.0,Chelsea,Sunderland
89,9.0,Newcastle,Fulham
88,9.0,Man Utd,Brighton
84,9.0,Brentford,Liverpool
81,9.0,Arsenal,Crystal Palace
82,9.0,Aston Villa,Man City
83,9.0,Bournemouth,Nott'm Forest
90,9.0,Wolves,Burnley
86,9.0,Everton,Spurs
91,10.0,Brighton,Leeds
92,10.0,Burnley,Arsenal
93,10.0,Crystal Palace,Brentford
94,10.0,Fulham,Wolves
97,10.0,Nott'm Forest,Man Utd
99,10.0,Spurs,Chelsea
95,10.0,Liverpool,Aston Villa
100,10.0,West Ham,Newcastle
96,10.0,Man City,Bournemouth
98,10.0,Sunderland,Everton
109,11.0,Spurs,Man Utd
105,11.0,Everton,Fulham
110,11.0,West Ham,Burnley
108,11.0,Sunderland,Arsenal
103,11.0,Chelsea,Wolves
101,11.0,Aston Villa,Bournemouth
102,11.0,Brentford,Newcastle
104,11.0,Crystal Palace,Brighton
107,11.0,Nott'm Forest,Leeds
106,11.0,Man City,Liverpool
114,12.0,Burnley,Chelsea
112,12.0,Bournemouth,West Ham
113,12.0,Brighton,Brentford
115,12.0,Fulham,Sunderland
117,12.0,Liverpool,Nott'm Forest
120,12.0,Wolves,Crystal Palace
119,12.0,Newcastle,Man City
116,12.0,Leeds,Aston Villa
111,12.0,Arsenal,Spurs
118,12.0,Man Utd,Everton
122,13.0,Brentford,Burnley
126,13.0,Man City,Leeds
128,13.0,Sunderland,Bournemouth
125,13.0,Everton,Newcastle
129,13.0,Spurs,Fulham
124,13.0,Crystal Palace,Man Utd
121,13.0,Aston Villa,Wolves
127,13.0,Nott'm Forest,Brighton
130,13.0,West Ham,Liverpool
123,13.0,Chelsea,Arsenal
132,14.0,Bournemouth,Everton
135,14.0,Fulham,Man City
139,14.0,Newcastle,Spurs
131,14.0,Arsenal,Brentford
133,14.0,Brighton,Aston Villa
134,14.0,Burnley,Crystal Palace
140,14.0,Wolves,Nott'm Forest
136,14.0,Leeds,Chelsea
137,14.0,Liverpool,Sunderland
138,14.0,Man Utd,West Ham
141,15.0,Aston Villa,Arsenal
142,15.0,Bournemouth,Chelsea
144,15.0,Everton,Nott'm Forest
147,15.0,Man City,Sunderland
148,15.0,Newcastle,Burnley
149,15.0,Spurs,Brentford
146,15.0,Leeds,Liverpool
143,15.0,Brighton,West Ham
145,15.0,Fulham,Crystal Palace
150,15.0,Wolves,Man Utd
154,16.0,Chelsea,Everton
156,16.0,Liverpool,Brighton
153,16.0,Burnley,Fulham
151,16.0,Arsenal,Wolves
155,16.0,Crystal Palace,Man City
158,16.0,Nott'm Forest,Spurs
159,16.0,Sunderland,Newcastle
160,16.0,West Ham,Aston Villa
152,16.0,Brentford,Leeds
157,16.0,Man Utd,Bournemouth
168,17.0,Newcastle,Chelsea
162,17.0,Bournemouth,Burnley
163,17.0,Brighton,Sunderland
167,17.0,Man City,West Ham
170,17.0,Wolves,Brentford
169,17.0,Spurs,Liverpool
164,17.0,Everton,Arsenal
166,17.0,Leeds,Crystal Palace
161,17.0,Aston Villa,Man Utd
165,17.0,Fulham,Nott'm Forest
177,18.0,Man Utd,Newcastle
178,18.0,Nott'm Forest,Man City
171,18.0,Arsenal,Brighton
172,18.0,Brentford,Bournemouth
173,18.0,Burnley,Everton
176,18.0,Liverpool,Wolves
180,18.0,West Ham,Fulham
174,18.0,Chelsea,Aston Villa
179,18.0,Sunderland,Leeds
175,18.0,Crystal Palace,Spurs
183,19.0,Burnley,Newcastle
184,19.0,Chelsea,Bournemouth
188,19.0,Nott'm Forest,Everton
190,19.0,West Ham,Brighton
181,19.0,Arsenal,Aston Villa
187,19.0,Man Utd,Wolves
185,19.0,Crystal Palace,Fulham
186,19.0,Liverpool,Leeds
182,19.0,Brentford,Spurs
189,19.0,Sunderland,Man City
191,20.0,Aston Villa,Nott'm Forest
193,20.0,Brighton,Burnley
200,20.0,Wolves,West Ham
192,20.0,Bournemouth,Arsenal
196,20.0,Leeds,Man Utd
194,20.0,Everton,Brentford
198,20.0,Newcastle,Crystal Palace
199,20.0,Spurs,Sunderland
195,20.0,Fulham,Liverpool
197,20.0,Man City,Chelsea
210,21.0,West Ham,Nott'm Forest
202,21.0,Bournemouth,Spurs
203,21.0,Brentford,Sunderland
205,21.0,Crystal Palace,Aston Villa
206,21.0,Everton,Wolves
207,21.0,Fulham,Chelsea
208,21.0,Man City,Brighton
204,21.0,Burnley,Man Utd
209,21.0,Newcastle,Leeds
201,21.0,Arsenal,Liverpool
216,22.0,Man Utd,Man City
213,22.0,Chelsea,Brentford
214,22.0,Leeds,Fulham
215,22.0,Liverpool,Burnley
219,22.0,Spurs,West Ham
218,22.0,Sunderland,Crystal Palace
217,22.0,Nott'm Forest,Arsenal
220,22.0,Wolves,Newcastle
211,22.0,Aston Villa,Everton
212,22.0,Brighton,Bournemouth
230,23.0,West Ham,Sunderland
224,23.0,Burnley,Spurs
227,23.0,Fulham,Brighton
228,23.0,Man City,Wolves
222,23.0,Bournemouth,Liverpool
223,23.0,Brentford,Nott'm Forest
225,23.0,Crystal Palace,Chelsea
229,23.0,Newcastle,Aston Villa
221,23.0,Arsenal,Man Utd
226,23.0,Everton,Leeds
232,24.0,Brighton,Everton
234,24.0,Leeds,Arsenal
240,24.0,Wolves,Bournemouth
233,24.0,Chelsea,West Ham
235,24.0,Liverpool,Newcastle
231,24.0,Aston Villa,Brentford
236,24.0,Man Utd,Fulham
237,24.0,Nott'm Forest,Crystal Palace
239,24.0,Spurs,Man City
238,24.0,Sunderland,Burnley
246,25.0,Leeds,Nott'm Forest
248,25.0,Man Utd,Spurs
241,25.0,Arsenal,Sunderland
242,25.0,Bournemouth,Aston Villa
244,25.0,Burnley,West Ham
245,25.0,Fulham,Everton
250,25.0,Wolves,Chelsea
249,25.0,Newcastle,Brentford
243,25.0,Brighton,Crystal Palace
247,25.0,Liverpool,Man City
253,26.0,Chelsea,Leeds
255,26.0,Everton,Bournemouth
259,26.0,Spurs,Newcastle
260,26.0,West Ham,Man Utd
251,26.0,Aston Villa,Brighton
256,26.0,Man City,Fulham
257,26.0,Nott'm Forest,Wolves
254,26.0,Crystal Palace,Burnley
258,26.0,Sunderland,Liverpool
252,26.0,Brentford,Arsenal
310,26.0,Wolves,Arsenal
261,27.0,Aston Villa,Leeds
262,27.0,Brentford,Brighton
263,27.0,Chelsea,Burnley
270,27.0,West Ham,Bournemouth
266,27.0,Man City,Newcastle
264,27.0,Crystal Palace,Wolves
267,27.0,Nott'm Forest,Liverpool
268,27.0,Sunderland,Fulham
269,27.0,Spurs,Arsenal
265,27.0,Everton,Man Utd
280,28.0,Wolves,Aston Villa
272,28.0,Bournemouth,Sunderland
274,28.0,Burnley,Brentford
277,28.0,Liverpool,West Ham
279,28.0,Newcastle,Everton
276,28.0,Leeds,Man City
273,28.0,Brighton,Nott'm Forest
275,28.0,Fulham,Spurs
278,28.0,Man Utd,Crystal Palace
271,28.0,Arsenal,Chelsea
282,29.0,Bournemouth,Brentford
284,29.0,Everton,Burnley
286,29.0,Leeds,Sunderland
290,29.0,Wolves,Liverpool
281,29.0,Aston Villa,Chelsea
283,29.0,Brighton,Arsenal
285,29.0,Fulham,West Ham
287,29.0,Man City,Nott'm Forest
288,29.0,Newcastle,Man Utd
289,29.0,Spurs,Crystal Palace
293,30.0,Burnley,Bournemouth
299,30.0,Sunderland,Brighton
291,30.0,Arsenal,Everton
294,30.0,Chelsea,Newcastle
300,30.0,West Ham,Man City
295,30.0,Crystal Palace,Leeds
297,30.0,Man Utd,Aston Villa
298,30.0,Nott'm Forest,Fulham
296,30.0,Liverpool,Spurs
292,30.0,Brentford,Wolves
302,31.0,Bournemouth,Man Utd
303,31.0,Brighton,Liverpool
305,31.0,Fulham,Burnley
304,31.0,Everton,Chelsea
306,31.0,Leeds,Brentford
308,31.0,Newcastle,Sunderland
301,31.0,Aston Villa,West Ham
309,31.0,Spurs,Nott'm Forest
320,32.0,West Ham,Wolves
311,32.0,Arsenal,Bournemouth
312,32.0,Brentford,Everton
313,32.0,Burnley,Brighton
316,32.0,Liverpool,Fulham
315,32.0,Crystal Palace,Newcastle
318,32.0,Nott'm Forest,Aston Villa
319,32.0,Sunderland,Spurs
314,32.0,Chelsea,Man City
317,32.0,Man Utd,Leeds
322,33.0,Brentford,Fulham
326,33.0,Leeds,Wolves
328,33.0,Newcastle,Bournemouth
330,33.0,Spurs,Brighton
323,33.0,Chelsea,Man Utd
321,33.0,Aston Villa,Sunderland
325,33.0,Everton,Liverpool
329,33.0,Nott'm Forest,Burnley
327,33.0,Man City,Arsenal
324,33.0,Crystal Palace,West Ham
338,34.0,Sunderland,Nott'm Forest
335,34.0,Fulham,Aston Villa
332,34.0,Bournemouth,Leeds
336,34.0,Liverpool,Crystal Palace
339,34.0,West Ham,Everton
340,34.0,Wolves,Spurs
331,34.0,Arsenal,Newcastle
334,34.0,Burnley,Man City
333,34.0,Brighton,Chelsea
337,34.0,Man Utd,Brentford
341,35.0,Arsenal,Fulham
342,35.0,Aston Villa,Spurs
343,35.0,Bournemouth,Crystal Palace
344,35.0,Brentford,West Ham
345,35.0,Chelsea,Nott'm Forest
346,35.0,Everton,Man City
347,35.0,Leeds,Burnley
348,35.0,Man Utd,Liverpool
349,35.0,Newcastle,Brighton
350,35.0,Wolves,Sunderland
351,36.0,Brighton,Wolves
352,36.0,Burnley,Aston Villa
353,36.0,Crystal Palace,Everton
354,36.0,Fulham,Bournemouth
355,36.0,Liverpool,Chelsea
356,36.0,Man City,Brentford
357,36.0,Nott'm Forest,Newcastle
359,36.0,Spurs,Leeds
358,36.0,Sunderland,Man Utd
360,36.0,West Ham,Arsenal
361,37.0,Arsenal,Burnley
362,37.0,Aston Villa,Liverpool
363,37.0,Bournemouth,Man City
364,37.0,Brentford,Crystal Palace
365,37.0,Chelsea,Spurs
366,37.0,Everton,Sunderland
367,37.0,Leeds,Brighton
368,37.0,Man Utd,Nott'm Forest
369,37.0,Newcastle,West Ham
370,37.0,Wolves,Fulham
371,38.0,Brighton,Man Utd
372,38.0,Burnley,Wolves
373,38.0,Crystal Palace,Arsenal
374,38.0,Fulham,Newcastle
375,38.0,Liverpool,Brentford
376,38.0,Man City,Aston Villa
377,38.0,Nott'm Forest,Bournemouth
379,38.0,Spurs,Everton
378,38.0,Sunderland,Chelsea
380,38.0,West Ham,Leeds
